abv_abreviacao;abv_explicacao;pal_id
profis.;profissão;261716
propag.;propaganda;262152
prot.;protocolo;262983
prox.;próximo;263345
pt;ponto;257137
pub.;publicação;264692
public.;publicação;264692
qtde.;quantidade;266025
quant.;quantidade;266025
quart.;quarteirão;266153
quest.;questionário;267209
quím.;química;267966
radioat.;radioativo;269938
real.;realidade;272132
realid.;realidade;272132
refl.;reflexo;273393
reg.;região;273646
rel.;relativo;274102
relat.;relatório;274116
relig.;religião;274173
report.;reportagem;274952
res.;residência;275316
rest.;restrito;275808
result.;resultado;275818
rg.;registro;273724
rib.;ribeirão;276845
rod.;rodovia;278712
Sarg.;Sargento;285297
séc.;século;286351
secr.;secretaria;286280
seg;segundo;286650
seg.;segundo;286650
sel.;seleção;286836
sem.;semana;287070
sep.;separado;287962
set.;setembro;289201
sg.;singular;291558
sist.;sistema;292301
sit.;situado;292466
soc.;sociedade;292992
sub.;subúrbio;295516
superf.;superfície;296955
tb;também;299127
tc;teclar;301295
teatr.;teatro;301201
téc.;técnica;301309
tec.;tecnologia;301366
técn.;técnica;301309
tecnol.;tecnologia;301366
tel.;telefone;301773
temp.;temperatura;302411
temper.;temperatura;302411
ten.;tenente;302638
térm.;térmico;303525
territ.;território;304068
tít.;título;307373
ton.;tonelada;308200
trab.;trabalho;309587
trad.;tradução;309783
tradic.;tradicional;309766
tráf.;tráfego;309820
trat.;tratamento;311100
trav.;travessa;311202
trib.;tribunal;312255
trim.;trimestre;313405
tv.;televisão;302069
un.;unidade;318363
univ.;universidade;318600
urb.;urbano;318911
usual.;usualmente;319279
var.;variação;320885
vb.;verbo;322355
vc;você;325641
veg.;vegetal;321609
vel.;velocidade;321860
veloc.;velocidade;321860
verb.;verbo;322355
vol.;volume;325896
vulc.;vulcânico;326175
zoo.;zoológico;327838
vo6;vocês;325644
tbm;também;299127
td bm;tudo bem;40811
bm;bem;40811
ksa;casa;62492
kbça;cabeça;51195
lol;louco;189847
rs;risos;277859
kkkk;risos;277859
ahahaha;risos;277859
flw;falou;131348
wlw;valeu;320265
fcd;fica com deus;97386
fds;final de semana;136609
obg;obrigado;224499
tks;obrigado;224499
brink’s;brincadeira;48767
xau;tchau;301137
bj;beijo;40286
bjs;beijos;40307
bjo;beijo;40286
bjos;beijos;40307
fik;fica;135532
qnts;quantos;266053
to;estou;124396
gnt;gente;147722
blz;beleza;40590
bb;bebê;39857
jto;jeito;177462
p/;para;236520
wpp;whatsapp;23810
zap;whatsapp;23810
mt;muito;214937
loko;louco;189847
cmg;comigo;78051
ñ;não;217937
n;não;217937
s;sim;290557
ptgs;português;257986
ctg;contigo;81231
pfv;por favor;133102
plmds;pelo amor de Deus;97386
mds;meu Deus;97386
omg;oh my God;97386
lgl;legal;183224
lgc;lógico;188993
amr;amor;17151
m.a;melhor amigo(a);16627
